group	variable	value
GROUP1	var1	0.872869704
GROUP1	var1	0.949435397
GROUP1	var1	0.637836488
GROUP1	var1	0.162272875
GROUP1	var1	0.956696869
GROUP1	var1	0.332278719
GROUP1	var1	0.678955126
GROUP1	var1	0.375084975
GROUP1	var1	0.947800867
GROUP1	var2	0.751388159
GROUP1	var2	0.904183657
GROUP1	var2	1.263047393
GROUP1	var2	1.261987192
GROUP1	var2	0.555931582
GROUP1	var2	0.974156214
GROUP1	var2	1.064103165
GROUP1	var2	0.868948582
GROUP1	var2	1.114809577
GROUP1	var2	1.49760173
GROUP1	var2	0.683563416
GROUP1	var2	0.79257949
GROUP1	var2	0.664668466
GROUP1	var3	-0.031076344
GROUP1	var3	-0.210184945
GROUP1	var3	0.48532807
GROUP1	var3	-0.115357164
GROUP1	var3	0.4674106
GROUP1	var3	0.406444694
GROUP1	var3	0.643713516
GROUP1	var3	-0.146232678
GROUP1	var3	0.362562163
GROUP1	var3	0.283047658
GROUP1	var3	0.20190625
GROUP1	var3	-0.280652207
GROUP2	var1	0.313113486
GROUP2	var1	0.345891335
GROUP2	var1	1.025580867
GROUP2	var1	1.166310681
GROUP2	var1	0.319249492
GROUP2	var1	0.477730682
GROUP2	var1	0.877087141
GROUP2	var1	0.241988937
GROUP2	var1	0.997041125
GROUP2	var2	1.412970208
GROUP2	var2	0.87122533
GROUP2	var2	1.505505563
GROUP2	var2	0.891140197
GROUP2	var2	0.952847901
GROUP2	var2	0.827062186
GROUP2	var2	0.959494961
GROUP2	var2	1.053564319
GROUP2	var2	0.804347689
GROUP2	var2	0.815077504
GROUP2	var2	1.004537743
GROUP2	var2	0.904165964
GROUP2	var2	1.388128583
GROUP2	var3	0.955534208
GROUP2	var3	1.187323923
GROUP2	var3	1.136787369
GROUP2	var3	1.519519958
GROUP2	var3	1.398924967
GROUP2	var3	1.072052775
GROUP2	var3	1.531379183
GROUP2	var3	0.96667491
GROUP2	var3	1.039015913
GROUP2	var3	1.423171712
GROUP2	var3	0.757971391
GROUP2	var3	1.176389566
