bee1	bee2	bee3	bee4	bee5	bee6
0.8728697037	1.1148095771	-0.0147969853	0.313113486	0.8043476889	1.2283269756
0.9494353966	1.4976017298	0.0703086502	0.3458913353	0.8150775038	1.6365212892
0.637836488	0.6835634164	-0.2086932307	1.0255808668	1.004537743	1.3071207607
0.1622728745	0.7925794902	0.4019556274	1.1663106806	0.9041659635	1.5269371598
0.9566968689	0.6646684655	0.6157021353	0.319249492	1.3881285828	1.5978335122
0.3322787192	0.6967618435	-0.0310763444	0.4777306822	0.8539818587	0.9555342084
0.6789551256	0.9051548124	-0.2101849454	0.8770871412	0.9991514032	1.1873239226
0.3750849748	0.7375525089	0.4853280697	0.2419889367	1.3013673093	1.136787369
0.9478008666	1.2116948736	-0.1153571642	0.9970411251	1.2198434944	1.5195199575
0.9548330156	0.7513881589	0.4674105999	0.3867865296	1.4129702075	1.3989249671
0.0003462657	0.9041836567	0.4064446942	0.7122075933	0.8712253297	1.0720527745
0.7923081657	1.2630473925	0.6437135158	0.7943580971	1.5055055634	1.5313791831
0.4171182283	1.2619871916	-0.1462326778	1.0206005229	0.8911401968	0.9666749102
0.9773801279	0.5559315821	0.3625621626	0.840194413	0.9528479007	1.0390159127
0.739647324	0.9741562142	0.2830476575	0.5977684774	0.8270621862	1.4231717117
0.3765027195	1.0641031645	0.2019062497	0.9506988994	0.9594949613	0.7579713911
0.4638886368	0.8689485823	-0.2806522068	1.1047853069	1.0535643191	1.1763895657
