Feature	ALog2TPM+1	BLog2TPM+1
COX1	13.94235872	13.80606287
FTL	14.27787823	13.67468883
COX2	13.65053945	13.42789333
ND4	13.6444309	13.3638222
ATP8	13.65368481	13.26357731
COX3	13.25515646	13.23875054
ATP6	13.57324086	13.22831266
ACTB	12.76625972	13.20021663
ND4L	13.34447623	13.08752362
ND6	12.98497616	13.03940461
SNORD141A	13.14909611	12.90157402
ND2	12.60605043	12.77922004
MIR4709	12.55371728	12.72836343
ND5	12.67088488	12.72463464
CYTB	13.00436679	12.70657156
MIR3654	12.72709793	12.70501313
TMSB4X	12.67073738	12.63421737
ND1	12.30885094	12.54260872
SNORD139	11.90350531	12.30625635
CTSD	13.03971874	12.23405398
C3	9.956085701	12.09265255
MIR7847	10.64949571	12.05835258
ND3	12.08150563	11.93169167
MIR1282	12.33089821	11.82571409
FTH1	13.42014445	11.80930591
MIR6747	11.40634675	11.80930591
RPS6	11.37964912	11.71916775
IFI30	11.86642894	11.64769826
LYZ	11.3705966	11.63955175
FCER1G	11.82932634	11.55893086
RPS4X	10.98785613	11.50162159
RPL13AP5	11.11495692	11.48855149
RPS11	11.30549179	11.48330356
TUBA1B	11.00199454	11.47642557
CFL1	11.43217648	11.43116675
MIR3064	11.36721451	11.41353979
MIR1244-1	11.37583588	11.40580627
UBC	11.83774618	11.38449597
CTSZ	12.39264836	11.32320492
TMSB10	11.92562861	11.32017062
PSAP	11.73404626	11.31969094
RPS8	11.13579478	11.294391
RACK1	11.10291616	11.24212213
MIR6728	11.40480451	11.24176472
S100A11	12.00152548	11.23563533
MIR4426	11.30674527	11.22675336
S100A9	10.46903124	11.20524343
RPL4	10.74827672	11.1967353
RPL23	11.07293648	11.18187694
RPL37A	11.30366661	11.15768378
ITM2B	10.51533846	11.14504053
COTL1	9.850343134	11.13144973
TGFBI	8.867484677	11.10491539
EEF2	10.70810675	11.0824152
C1QA	10.3879814	11.08186065
LAPTM5	11.20151134	11.0748662
LGALS1	11.71115071	11.07481046
GABARAP	10.80114249	11.05960359
CYBB	10.66231233	11.04424611
RPL5	10.54167745	11.03003484
CALR	10.79925463	10.97564499
FCGBP	7.442114122	10.97252513
RPLP2	10.88154737	10.97099262
CHI3L1	13.81667703	10.95041009
RPL30	10.79105433	10.91146689
RPS2	10.28022946	10.91041788
RPS12	11.04003852	10.87058306
RPL7A	10.46427345	10.85202225
S100A4	9.928518375	10.79591789
RPL27	10.6823509	10.79044353
RPS13	10.62938698	10.73534447
GRN	10.1030692	10.71968828
CD74	10.55787848	10.71851861
RPL35	10.29641917	10.70560359
RPLP1	10.6312377	10.69711237
ATP5B	10.48727061	10.68236553
GPX1	10.37304638	10.67664764
C1QC	9.751153486	10.60822401
MIR6717	6.806495919	10.60356453
MIR3652	9.749534268	10.58893321
CST3	8.879276912	10.58347458
APOC2	10.93938332	10.5370404
ATP5E	10.82426931	10.53222603
RPS5	10.32023645	10.52868201
COX7C	10.44666979	10.51127497
RPS25	10.22363975	10.49881597
MMP14	9.693196531	10.45515595
RPL3	10.06281069	10.4230984
EEF1A1	10.5137276	10.42025851
PPIB	9.849405101	10.40015008
ATP6AP2	10.65836027	10.38654513
RPL11	10.24859967	10.38284014
SPP1	11.47838202	10.3216275
SCD	9.547537229	10.29410377
FAU	9.913138743	10.29084443
EEF1G	9.934231441	10.2904605
HSP90B1	9.634569068	10.28532515
RPL19	10.26592754	10.28218108
CD68	11.05661514	10.27511572
MIR3620	10.55439699	10.25622835
RPL29	9.577302933	10.24474042
HLA-DRB5	9.621197178	10.24029445
SLC25A5	9.665217464	10.23505686
ACTG1	10.0672999	10.22723486
RPS21	10.12325923	10.21712972
HMOX1	9.786051764	10.21105682
OAZ1	10.2340989	10.19366909
RPL12	10.10455507	10.18669203
SH3BGRL3	11.20155218	10.18171133
MIR5047	10.00178348	10.16559795
B2M	10.89236573	10.14868842
EIF1	10.45997799	10.12861733
A2M	10.23413883	10.10651932
ATP6V0E1	10.44863257	10.10376863
NCL	9.374387464	10.10204131
RPL24	9.634871539	10.08569375
MIR1244-2	9.87672157	10.06882305
MYL6	10.565356	10.0684872
COX8A	9.93855045	10.06826326
NPC2	9.804023434	10.03805019
ALOX5AP	7.439900126	10.02037811
MIR6852	10.01425299	10.01615828
PCBP1	9.628627802	10.00873207
KCTD12	9.096539473	10.00046955
GSTP1	10.00641959	9.999671223
PGK1	9.874827698	9.982827247
H3F3AP4	9.611024797	9.981377003
RPL36AL	9.803323919	9.974844753
MIR6819	9.687783908	9.974796963
C3AR1	9.689473895	9.966409317
TPP1	9.600780182	9.949243096
P4HB	9.948513246	9.939579214
CREG1	10.58345891	9.921270687
YWHAH	8.954874838	9.912215722
RPS15A	9.528063348	9.893073958
RPLP0	9.600780182	9.875109377
MIR6892	9.362747483	9.874981348
ANXA5	10.23872318	9.872623584
PFN1	9.477151114	9.834207664
RAB7A	10.09592442	9.832046086
LCP1	9.751990299	9.831808642
ID2	8.866660751	9.825833318
MIR1181	10.00571811	9.817490024
UCP2	10.112787	9.81132117
COX6B1	9.642352599	9.808615656
VIM	11.01690112	9.805582668
TALDO1	10.75279876	9.799362579
SAT1	10.10952598	9.786405776
ARPC3	9.243808693	9.767412034
GAPDH	10.21136108	9.763682674
HSPA5	9.158946236	9.751516164
RPL35A	9.268035087	9.733439083
MIR6890	9.215856528	9.701190926
ZFP36L2	7.824640581	9.695634301
RPS7	9.347104578	9.677660923
NCF1	9.244918764	9.674015673
MMP9	12.05647966	9.66944612
RPSAP58	9.186444432	9.664447285
SNORD141B	9.772314574	9.653412381
TYROBP	9.308945714	9.639491453
NDUFA13	9.754330799	9.63205611
CSF1R	7.17292749	9.609732804
H2AFZ	9.504090671	9.605139948
HTRA1	8.901168595	9.580635447
PABPC1	9.06590974	9.577837911
COX7B	9.65618648	9.577239981
HLA-DRB6	9.270606806	9.576389865
C1QB	10.11656057	9.571310225
EIF4A1	9.518849829	9.56325984
LAMTOR1	8.946711368	9.560523907
DDOST	8.849144428	9.533005203
ANXA2P2	10.92357509	9.532453336
ZFP36	6.975752454	9.531673869
MIR6501	8.842769366	9.530958988
BST2	9.133998411	9.527053388
RPS20	9.413486896	9.523071827
COX5B	9.750092824	9.520389507
MIR4707	7.720187245	9.520062054
HSPA8	9.771049221	9.507166958
SNORD49B	9.100136671	9.506935637
RPL38	9.535664191	9.505480774
SENP3-EIF4A1	9.369379235	9.46899731
IGSF6	9.408683559	9.453579309
DNASE2	8.840987679	9.449389418
ATP5O	9.23441829	9.441630101
CSTB	11.07485505	9.434523983
MIR6813	6.669121279	9.433689754
NOP10	10.37684891	9.429929741
BRK1	9.218199944	9.407834249
CTSS	10.10769659	9.403189597
RPL10A	9.240791332	9.397710281
MIR3661	9.075479149	9.39246054
NDUFA1	9.676427273	9.383956238
MIR6723	7.787902559	9.3836323
COX5A	8.897038692	9.377282844
NDUFB2	9.399527165	9.374351235
HCLS1	8.588589722	9.366103608
OST4	9.591023597	9.364207627
RPL36	8.939677154	9.355351096
TMED9	9.439207555	9.347732085
PDIA3	8.779062689	9.346365984
PFDN5	9.310385568	9.330618153
EIF3H	9.181566408	9.323167379
MIR4444-2	8.517275693	9.32305476
ENO1	9.492787874	9.304047044
MIR6797	8.983278664	9.299169851
MAT2A	8.686150316	9.298902654
ACTR2	8.733241343	9.294046313
MIR4721	9.132114103	9.292896755
EIF3G	8.907291289	9.29209152
PSMB4	9.332558764	9.291362585
MIR6737	8.869748051	9.288520063
FCER1A	0.9510904	9.281079996
NEDD8	9.664447285	9.265458775
TLN1	9.172094092	9.256719774
CD81	9.378583872	9.248520605
PSMA7	9.737303686	9.24697806
MIR6515	8.869748051	9.245196148
BTG2	8.059074015	9.243332687
TREM2	9.174259926	9.230060477
ARL6IP5	9.766970539	9.225046727
SNORA86	9.723660944	9.223800616
HIGD2A	9.080106884	9.220861967
RPN1	9.056728022	9.216826679
APOC4-APOC2	9.616242507	9.212820595
RPL37	9.247057205	9.20957521
SNHG5	9.093021347	9.199140642
CCDC152	7.581953751	9.195003027
MIR7705	9.366395076	9.185371029
SEC61B	9.092228584	9.184544791
MIR6734	9.137588908	9.183056368
ARPC1B	9.220861967	9.179038235
RAB32	8.969530424	9.171552125
S100A6	10.20969704	9.168379622
HAVCR2	9.682936079	9.161341867
VAMP8	9.147459346	9.1523271
BLVRB	9.120497098	9.152242583
SNORA100	9.802570216	9.149577779
CALM3	9.05075562	9.146229228
RPS16	8.818369139	9.141468555
GNB2	8.503958211	9.12524125
TIMP2	9.404077136	9.123302346
RPL13A	8.547665748	9.122698599
VCP	9.113655359	9.117902789
MARCKS	9.009082122	9.117772951
COX6A1	9.314847554	9.116560566
HADHA	8.985177822	9.115650608
CYBA	8.90769187	9.114609953
TMBIM6	9.204734151	9.113742166
OXA1L	8.426404544	9.11048331
MPEG1	8.397460726	9.108437335
MAFB	8.202940059	9.101187815
XRCC5	8.627655472	9.09768102
MIR6807	8.432263495	9.091479464
GLO1	7.736514682	9.077750374
RPS15	8.620952902	9.076548407
JUNB	8.369088369	9.076236622
TGIF2-C20orf24	9.079218087	9.069852511
GM2A	10.23066096	9.067479178
GLTSCR2	8.508323003	9.053473413
DHCR24	7.847161772	9.050166089
NINJ1	8.621075046	9.040883301
ATP1B3	9.191306019	9.036631538
TMEM123	8.297069108	9.031218731
CHMP4B	8.952547128	9.026938348
MIR6831	6.397460726	9.024862627
SH3BP1	7.129626475	9.021720305
ATP6V0C	8.758889433	9.020378112
LIPA	10.02666176	9.014996819
APOBR	7.885493019	9.013508786
H3F3B	8.768404903	9.013136537
TNFRSF1A	7.802624065	9.012158928
SERINC1	9.401377322	9.007214193
PSMB1	9.042297775	9.003611606
MIR611	9.28701972	8.991049373
MIR6804	8.036539965	8.990103964
UQCRC1	8.838468603	8.982993575
PLP2	8.974796963	8.98209042
CD53	9.092492887	8.97551364
PLEK	10.49954696	8.967706597
ITGB2	8.814742667	8.967418413
VIM-AS1	9.953371955	8.961594391
MIR4444-1	7.581451682	8.960195051
MIR6731	5.531901257	8.958359377
ATP6V1F	9.400950573	8.955068644
ADAP2	7.629842294	8.947101154
EIF4A2	9.389882252	8.945102387
TWF2	9.249982522	8.938109326
HNRNPA1P10	7.842350343	8.934968551
ALDH2	8.730187062	8.934821159
C19orf43	8.638677248	8.929948764
TNFSF12-TNFSF13	8.283397083	8.929948764
SNORA105B	9.164320346	8.929850162
NCF1C	8.360627646	8.924119685
RNASEK-C17orf49	9.083745237	8.923129367
RPL18	8.541354793	8.913687287
SERPINF1	7.491318666	8.909893084
RPL18A	8.567829351	8.908692838
MIR6802	7.805206455	8.906940688
SRSF9	8.414896604	8.905888376
GNS	9.83278455	8.89562577
PSMB10	8.58771502	8.895524793
BTF3	8.686850653	8.893503787
RPL41	8.859948848	8.892998093
NME1-NME2	9.032964056	8.891479946
H1F0	8.586714711	8.887982133
FOS	6.354028938	8.88437406
DAD1	9.415037499	8.881674815
MIR4761	9.349834091	8.880858955
FCN1	1.5360529	8.88070593
F13A1	2.191141487	8.879634299
SNORD58B	8.917968728	8.87036472
CMTM6	8.896433323	8.869336793
LCP2	8.411087227	8.868256681
C10orf54	6.686500527	8.866557727
GHITM	9.335539232	8.863411959
TMX2-CTNND1	7.397745928	8.859690074
TNFAIP8L2	8.073248982	8.857929173
RETN	0.137503524	8.854816449
ANP32B	8.524737587	8.853257565
MIR4745	8.346070441	8.845437778
TPT1	8.716533694	8.844496549
EIF2S3	7.68182404	8.844496549
SEPP1	7.169591006	8.844078028
EIF3F	8.066448025	8.840882805
GNG5	8.921245889	8.831887795
MIR3605	8.034890647	8.831465599
RNASE6	6.652964446	8.829511336
TRIM28	7.73854268	8.821029859
SOD1	9.372647443	8.817996247
AKR1B1	9.924020684	8.814101754
RPSA	7.898853277	8.810143154
TOMM7	8.739443098	8.804991433
GNA15	6.803915838	8.801654476
NAPSB	2.827819025	8.787521707
ARF5	8.085870755	8.787140755
RPL8	8.453133424	8.779555217
RPL31	8.738204878	8.779007954
ARPC5	8.646738698	8.775500545
ATP5H	8.67548664	8.774128144
SNORA104	9.244839501	8.773853507
LAPTM4A	9.301724813	8.771104259
SLC25A6	8.32762749	8.76884596
RPS19	8.495055528	8.755889026
HERPUD1	7.451760605	8.754163747
PEBP1	9.32019883	8.748025085
SAMHD1	8.14635653	8.745001974
FCGRT	6.678541456	8.741579341
MIR6803	7.780922467	8.735781648
TM9SF2	8.992088609	8.732732745
MIR6775	8.591460012	8.730470137
CCR1	9.18198044	8.725252633
NFKBIA	8.694067636	8.722124437
PCNA-AS1	7.530861477	8.718133261
RPS23	8.609671252	8.712928171
CORO1A	6.387730153	8.707704233
CORO1B	8.090994532	8.706035479
RPS10-NUDT3	8.220297705	8.705689979
RPL23A	8.524215203	8.704191853
HMGN2	7.635657667	8.702922992
LOC107985310	8.662015559	8.700844263
APOE	10.32091334	8.695402309
CD52	9.155155542	8.69453201
RNASE1	7.964629667	8.691685368
TOMM6	8.576169382	8.691510901
GRB2	8.178249866	8.689648608
MIR6080	5.791814071	8.688192017
ENG	7.854868383	8.687434008
DDB1	8.215452106	8.686675601
SEC61A1	8.520815086	8.685274416
GTF3A	8.867690585	8.6838134
RPL26	8.695344306	8.682877572
MIR6796	9.473299871	8.67460424
PRDX6	8.95458408	8.673603533
CAT	7.905687849	8.666164814
ATP5F1	8.419960178	8.663083651
MIR4742	8.695460311	8.660768452
TMA7	8.175424799	8.650991877
RPL14	8.629963687	8.64054622
FGL2	7.700902046	8.639762752
TMEM258	8.643615721	8.636262089
S100B	6.189165644	8.631783357
UQCRC2	8.558037985	8.630934464
ATOX1	9.788555215	8.627898616
MIR3940	7.620830749	8.625647969
FSCN1	7.6043679	8.623942439
LOC107984339	8.635052991	8.62217387
LMAN2	8.306669332	8.612684233
SHFM1	8.904283375	8.601337482
PRDX1	9.649795066	8.594884403
RPL22	8.634084983	8.594884403
DRAP1	8.086224704	8.591958611
YWHAG	9.085162597	8.588464797
PSMB7	8.815703503	8.583709617
MRPL51	8.58458675	8.579064466
SLMO2-ATP5E	8.866557727	8.576736269
GMFG	8.313336562	8.573457845
