List1	List2	List3
CTSD	ATP7A	JAK2
ZNF117	TRIO	MEST
ARID5B	NECTIN4	BPTF
RBM39	SOWAHC	CACNA1G
AKAP13	EXPH5	NEK6
JAG1	KIAA1217	RPA1
NTRK2	TOR1AIP2	DNAH10
CHAMP1	RPL13A	APOE
NOS1	MED13	EBI3
GABARAPL1	PKD1	DDB1
CLIP1	MUC5B	MDM2
LOC727751	MCMBP	PAPPA2
MEST	LCMT1-AS2	BRPF3
DICER1	GAA	EPAS1
PHF13	SETD5	CASD1
ATF4	TIMP3	RPL17
NET1	HSPA5	CUX1
GANAB	ATP1A1	NR5A1
CLOCK	TNS3	YWHAB
CDYL	DNAH3	GRIN2D
PLAC4	AFF4	PACSIN2
AARS	CUX2	RPPH1
ZC3HAV1	SLC17A6	TCF3
LMNA	RPS6	CLIP1
F13A1	NET1	CUL3
RPA1	NIN	ADAMTS8
IFI30	CSF3R	ACTB
PECR	SPECC1L	RPL13A
SLC44A2	AK8	GM2A
RPL10	ARF1	NCKAP1
EDEM3	NUP98	GAA
CD55	RNF213	SNORD3A
BPGM	PGF	SLC5A6
GRAMD1B	ERRFI1	TALAM1
SMARCA2	SUN2	MEG3
HTT	PICALM	RNF11
PARD3	LAMC1	PRSS8
PLEKHG5	SKA1	GNE
PTPRS	SERPINB2	RNY5
MDN1	CACNA1C	FBXW9
SLC43A2	RALGAPA2	PRRC2B
TXNIP	CLTB	MCL1
MDM2	COL3A1	MED15
CACNA1G	AHR	ACTN4
HSPA9	HEXB	COPG1
PAPPA	FBLN1	ADAM12
ARRDC3	MYO9B	CEACAM5
JAK2	CACNA1A	VWF
PUM2	KMT2B	UBR4
NOTCH2	NOTCH2	NOTCH2
