Feature	Log2FC	-logFDR
CYP27A1	5.26	33.0268721464003
HAMP	5.19	37.537602002101
CD22	4.86	51.1739251972992
PCOLCE2	4.82	28.4685210829577
KIAA1217	4.62	54.8239087409443
PPP1R1A	4.57	26.0506099933551
ALS2CL	4.37	20.2076083105017
ZNF462	4.35	43.397940008672
SORCS2	4.30	23.8239087409443
LOC105370065	4.30	18.2291479883579
G0S2	4.12	54
LOC107985653	4.09	15.602059991328
COL23A1	4.07	56.6197887582884
NKG7	4.05	59.7447274948967
COL27A1	3.90	15.6575773191778
KCNJ10	3.89	15.698970004336
FPR3	3.88	17.1870866433571
ACOX2	3.86	14.8538719643218
SPON1	3.76	15.1804560644581
NMUR1	3.73	19.5850266520292
OLIG2	3.71	16.4814860601221
SAA1	3.68	29.3187587626244
ARHGAP44	3.65	34.9586073148418
ADCY1	3.64	19.3279021420643
SPARC	3.59	45.7958800173441
RPPH1	3.51	16.130768280269
PLS3	3.50	15.4436974992327
MASP1	3.50	11.3872161432803
ASAP2	3.47	13.9208187539524
MEIKIN	3.43	39.6575773191778
DLL1	3.43	11.431798275933
PCSK6	3.40	21.2365720064371
SAA2	3.37	19.1487416512809
PLTP	3.37	91.4814860601221
SLIT3	3.33	37.5086383061657
ABCB1	3.33	14.3565473235138
SLC28A3	3.29	12.9586073148418
MYO1B	3.29	73.4814860601221
FEZ1	3.29	23.6197887582884
WIPF3	3.28	11.5228787452803
EDNRA	3.28	203.408935392973
SAA2-SAA4	3.24	15.3565473235138
IGSF1	3.22	9.16115090926274
DDIT4L	3.19	106.200659450546
MAMLD1	3.16	19.0457574905607
MLXIPL	3.14	10
LOC101927243	3.12	19.9586073148418
SAGE1	3.11	9.00436480540245
SEZ6L2	3.10	124.677780705266
LIF	3.10	17.0915149811213
KCNK5	3.10	11.698970004336
LOC107986675	3.04	10.3565473235138
CDC27P9	3.01	9.36653154442041
NAP1L3	3.00	8.58502665202918
BCL2A1	2.96	11
LOC653513	2.93	15.2441251443275
LAMB3	2.91	19.4089353929735
LTBP2	2.90	74.1487416512809
ICAM2	2.90	10.4559319556497
APOE	2.90	77.6777807052661
SLITRK4	2.89	16.5228787452803
LOC102724475	2.87	9.92081875395237
FFAR2	2.87	84.5086383061657
LOC105375566	2.86	22.1426675035687
ENAH	2.86	10.1023729087096
KCNN3	2.85	17.568636235841
CD28	2.85	9.88605664769316
SLC11A1	2.84	47.9208187539524
TNFRSF9	2.82	35.4089353929735
PRR29	2.82	8.67778070526608
LOC100996549	2.81	7.43179827593301
TLR8-AS1	2.80	12.3767507096021
LOC101927969	2.80	9.85387196432176
LGALS3BP	2.80	20.1366771398795
SLC16A10	2.77	12.0705810742857
MIR147B	2.76	9.52287874528034
LOC105377468	2.76	6.92081875395237
MARCO	2.74	6.53760200210104
LOC107986595	2.74	11.0604807473814
APOC1	2.74	40
RMRP	2.73	9.65757731917779
IFI44L	2.73	6.92081875395237
CASP5	2.73	22.5228787452803
C15orf48	2.73	11.0315170514461
IL22RA2	2.72	13.1135092748275
FFAR3	2.71	6.44369749923271
DGKI	2.71	7.09151498112135
MYO7A	2.70	44.8239087409443
TMEM176B	2.68	17.8239087409443
SIGLEC15	2.65	21.0409586076789
OAS2	2.65	7.31875876262441
CXCR5	2.64	13.6382721639824
MAPK10	2.62	10.5228787452803
LOC101928716	2.62	7.03621217265444
CLIP4	2.61	17.2596373105058
FPR2	2.60	28.3767507096021
LOC105374166	2.59	7.52287874528034
BICC1	2.59	12.3665315444204
SGCE	2.58	7.38721614328026
NXF3	2.58	9.95860731484177
FXYD6	2.58	11.2291479883579
TMEM176A	2.56	11.7212463990472
PLA2G4C	2.56	17.3767507096021
OTOA	2.56	21.2441251443275
COL6A1	2.56	16.0362121726544
SLAMF8	2.54	82.0809219076239
LOC107985679	2.54	6
C1orf204	2.53	63.1611509092627
IFI6	2.52	9.65757731917779
GGTLC2	2.52	6.72124639904717
FXYD2	2.52	7.32790214206428
LOC105377059	2.51	7.14266750356873
LOC653786	2.50	13.8538719643218
FXYD6-FXYD2	2.50	12.0362121726544
LOC101926963	2.49	13.2839966563652
