NAME	LOG2_FC
XBP1	0
ELK1	0
AAK1	1.0935012872
ABCA3	1.9737791742
AGBL5	1.6056939958
ATP6V1B2	1.4791149882
BMP2K	1.5781200641
BMS1P4	2.6770933209
BTBD2	-1.5439568941
CASKIN1	-1.4296401878
DHX38	-1.7460612431
DNAJB13	2.604751732
EVL	-2.5989320382
FBXO41	1.6798097382
FKBP15	1.1382954884
FAU	1.5208436219
GPS2	-1.2947583536
INO80D	-1.4774568883
JAZF1	2.208147964
KIAA0100	2.9211836592
KIAA0355	1.5430140391
KANK2	-2.3621056788
MACROD1	-1.5055544103
MUS81	1.4356700632
NMT1	1.6797933462
NKIRAS1	1.6106316141
PCF11	1.4998121562
PDZD2	1.4437427314
RAB7A	1.199891171
RAB8A	-1.4280934156
RER1	-1.5506161
SLC26A10	2.4515731589
SCYL2	1.1415291385
SET	-1.1618159222
SH3PXD2A	-1.6918714774
SIDT2	1.0936308412
TAF6	-1.0174920391
TAPBPL	2.5611218932
TRAF7	-1.0973044788
TRAF3IP3	-1.4814880922
TSPYL2	2.9047237019
B3GNT4	4.1082881226
B3GNT7	1.0537310127
UHRF1BP1	1.1328691817
YIPF2	-1.2106306549
ACO2	-1.2657530067
ACADSB	1.403290835
ALKBH4	2.6530882938
ANAPC1	-1.815627573
ANKH	1.4299847481
ANO9	1.2731279066
BIRC6	1.3993696346
BSN	1.5258314922
CRYBG3	-1.1983816831
BMP8A	1.945875188
BRCA2	2.7220797865
CELSR1	1.6461922295
CACNG8	1.2128076825
CLMN	4.973177627
CALM3	-1.3493542522
CSNK1G2	-1.814156138
CDC23	-2.373252482
CDC26	1.7608085283
CEMP1	-1.1264412579
CENPF	-3.5264194199
CXCL16	-1.3299115812
CSGALNACT2	2.8867532965
CSPG4	1.8425614006
C1orf204	-1.4545489845
C1orf74	-1.7280717171
FAM195A	1.6456360375
C16orf72	1.8873633415
C9orf139	-2.3004647733
C9orf163	-1.6290085643
CTRL	-1.1099557755
CCDC106	3.100183326
CCDC85B	6.15663297
CCDC86	-1.8406663027
CCDC97	2.5705398043
COL9A3	-2.0910436998
C2	-2.6209048181
CFB	2.3073465693
CNTNAP1	3.4075025902
CKB	-1.441325678
CRB2	-1.78692311
CYP2F1	1.9552561195
CYBA	-1.5063651119
CYB5D1	1.4067863534
DOCK3	1.6960640068
DEXI	-1.923827708
DGKB	1.8142086892
OST4	-1.3932347098
DNAH11	-3.395400627
EXOSC4	1.6374600271
XPOT	-1.1045208631
FAM151A	-2.1142955654
FAM57A	-1.4588553311
FAM76B	2.0458298755
FAM98C	-1.9743033139
FADS1	-1.4667304466
FTH1	1.9206450019
FOXK2	1.6601980442
FHOD1	2.1905708199
FMNL2	3.0277746228
GGN	1.1763213371
GBA2	1.6018213594
GPT	-1.3393623744
GAS5	1.0987629206
GNG3	1.3045609499
HSPB9	2.8432241381
HK2	-1.9181770823
HDLBP	-1.9967582885
HOXB3	1.3771094353
HCFC1	-1.1770149046
LOC652276	1.1201697539
HMGN2	-2.2748204855
TUBA1B	-1.2583638992
SRRM5	-1.3461122706
SPATA24	-1.2223769537
IER2	1.4605602087
IPPK	-3.267188144
KLHDC2	-1.1367482868
KLC3	-1.3332155688
LETM1	1.1179959226
LENG1	-1.0451504132
LCORL	-3.2493521821
LOXL1	-2.1998657891
LOXL2	-1.5212416218
MST1	1.0744836839
MSL1	1.0331055226
MED12L	-1.8754807097
MED26	1.598591035
MED29	2.1436329045
MTF1	1.5545842349
MTSS1	1.8284376535
MAT2A	1.1904222781
MARS	1.6874841019
METTL3	1.0068452628
MCM3AP	-1.0655723486
MAPK8IP1	3.8111843779
MEGF11	1.7719954746
MYO1E	-1.1205069429
MYL5	1.4065185387
NNT	-2.2286370727
NR1D1	-2.2306489585
OSM	-1.4579984623
OPA3	1.1740206974
PHOX2A	-1.3175739073
PAPLN	1.233812265
PIKFYVE	1.2383225459
PIK3CD	-1.8758605207
PHKG2	-1.110365516
PARP1	-1.5860016915
PABPC1P2	1.6863494701
POLR2I	-1.1042734537
KCNAB2	1.428832917
PFDN2	-1.4837127099
PRR19	-2.0759117823
PSMC3	1.1568114807
PSMC6	1.815446083
PSMD2	1.0871157981
PSMB7	-2.5816465381
PKN3	-2.1894965612
PTPN9	1.0204600681
PCDH12	1.5520431654
RFTN2	1.1748421547
RMND5A	1.4832628464
RBL2	-1.9858749961
RAI1	-1.8035588085
RSL24D1	-1.2368411366
RPL27	1.0186346699
RPL37	1.2676073496
RNF123	1.1557070483
RNF213	2.4924455555
RNF31	-1.8212346859
SELO	1.2014879999
STK17B	1.5333074447
STK19	1.3206472302
UTP20	1.0437878759
EIF4A2	1.1709390372
FTL	2.459293369
SNRNP25	-1.7336919313
SMU1	2.6016793574
SLC37A1	-1.0661280502
SLC39A1	-1.7127387379
SLC5A5	-1.2398938825
SLC6A4	1.2241719254
SPTB	-2.1197157817
SPTBN2	2.0449896293
SF3A1	-1.1203697614
SSRP1	-1.3743540689
SUPT6H	1.3712621113
TXNDC17	1.8602702651
THBS2	-1.5649072987
TIRAP	-1.4400589794
TRAPPC4	-1.3982279575
TCF7	1.5672387689
TCFL5	-1.9799099088
TADA2B	3.8809897077
TMEM63A	1.5401062004
TNRC18	-1.0558841946
TBCB	-1.8478393653
TTLL10	-2.2865567957
UBR4	1.0953722561
UBE2N	1.9205001824
UBA5	1.4220841214
SGK494	3.2033338027
VPS4A	-1.3342671566
VCP	1.2397908849
VTI1A	-1.2286358253
WNT4	2.6366579992
XYLT1	-1.4372801617
YRDC	-1.0626528178
ZC3H7B	-1.2357857083
ZBTB2	1.7841503103
ZNF276	-1.6847158372
ZNF335	1.8360686953
ZNF469	1.6522003144
ZNF785	-1.4074749547
ZNF710	-3.089208991
ZNF784	-1.1650684545
ZCCHC14	4.8050321771
ZNHIT2	2.0851118546
ZNFX1	2.0286096888
ZZEF1	2.5525240451
